ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,2,3A,8.5,,0.57,-1,0,0,1,0,1,1,1,1,9.07,
,3,2T*,*,0,0,-,-,-,-,-,-,-,-,-,0,
,4,FUSp4,2.9,,0.36,0,0,1,2,1,0,1,1,1,3.26,
,6,CCSp2,2.3,,-0.26,1,0,-1,0,-1,-2,0,-2,-2,2.04,
,7,StSq3,3.3,,0.5,1,0,1,1,1,1,1,1,1,3.8,
,8,CCoSp4,3.5,,0.57,1,0,1,1,1,2,1,2,1,4.07,
,,,32.9,,,,,,,,,,,,32.75,
,Program Components,,,Factor,,,,,,,,,,,,
,Skating Skills,,,,1,7,7,7.25,7.5,7.25,8,7.25,6.75,7.25,7.21,
,Transitions,,,,1,7,6.25,7.5,7.5,6.5,7.5,7,7,6.75,7.04,
,Performance,,,,1,7.75,7,7.25,7.5,6.75,7.75,7,7,6.75,7.18,
,Composition,,,,1,8,7.25,7.5,7.75,7,8.25,7.25,7.25,7.25,7.46,
,Interpretation of the Music,,,,1,8,7.25,7.5,7.75,7.25,8.25,7,7.25,7.25,7.46,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,,36.35,
,Deductions,,,,,,,,,,,,,,0,
,Under-rotated jump,*,Invalid element,,,,,,,,,,,,,
ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,
,,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,,Score,,Score,,,Score (factored),,
,11,Liam FIRUS,,,,CAN,,2,,65.17,29.67,,,36.5,1,
,Executed,,Base,,,,,,,,,,,Scores of,,
,#,,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Value,,,,,,,,,,,Panel,,
,1,4T,10.3,,-4.00,-3,-3,-3,-3,-3,-3,-3,-3,-2,6.3,
,2,3A,8.5,,-3.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,5.5,
,3,CCoSp4,3.5,,0.43,0,1,1,1,2,1,1,0,1,3.93,
,4,FUSp3,2.4,,-0.14,-1,-1,-1,1,0,-1,2,-1,-2,2.26,
,5,3Lz+COMBO,6.6,x,-2.10,-3,-3,-3,-3,-3,-3,-3,-3,-3,4.5,
,6,StSq3,3.3,,0.71,0,1,1,2,2,2,1,1,2,4.01,
,7,CSSp3,2.6,,0.57,1,1,1,1,1,2,2,1,0,3.17,
,,,37.2,,,,,,,,,,,,29.67,
,Program Components,,,Factor,,,,,,,,,,,,
,Skating Skills,,,,1,8,7.25,6.75,7,8.25,8.25,7.5,7,7.5,7.5,
,Transitions,,,,1,7.5,6.75,6.5,6.75,8,8,7,7.25,7.25,7.21,
,Performance,,,,1,7.25,7.25,6.5,6.25,7.75,7.75,6.75,6.5,7,7,
,Composition,,,,1,7.75,7,6.75,6.5,8,8.75,7.5,7.5,7.5,7.43,
,Interpretation of the Music,,,,1,7.75,7.5,6.5,6.5,7.75,8.25,7.25,7.25,7.5,7.36,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,,36.5,
,Deductions,,Falls:,,-1.00(1),,,,,,,,,,-1.00,
x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,,,
,,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,,Score,,Score,,,Score (factored),,
,12,Maxim KOVTUN,,,,RUS,,9,,64.98,28.94,,,38.04,2,
,Executed,,Base,,,,,,,,,,,Scores of,,
,#,,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,,Value,,,,,,,,,,,Panel,,
,1,4S+COMBO,10.5,,-4.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,6.5,
,2,4T,,8,-4.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,
,3,FCSp3,2.8,,0.14,0,1,1,1,0,0,0,0,-1,2.94,
,4,3A,,6.49,x,-1.71,-2,-1,-2,-1,-2,-2,-1,-2,-2,4.78
,5,CCoSp4,3.5,,0.14,0,1,0,1,1,0,0,0,0,3.64,
,6,StSq3,3.3,,0.57,1,1,1,2,2,1,1,1,1,3.87,
,7,CSSp4,3,,0.21,0,1,1,1,0,1,0,0,0,3.21,
,,,37.59,,,,,,,,,,,,28.94,
,Program Components,,,Factor,,,,,,,,,,,,
,Skating Skills,,,,1,7.5,8,7.75,8,7.5,8,7.75,7.5,8.25,7.79,
,Transitions,,,,1,7,7.25,7.5,7.5,7.25,7.25,7.5,6.5,7.75,7.32,
,Performance,,,,1,7.25,8,7.5,7.75,7.5,7.25,7.5,7,7.5,7.46,
,Composition,,,,1,7.75,8.25,7.75,7.75,7.5,7.75,8,7.25,8,7.79,
,Interpretation of the Music,,,,1,7.5,8.25,7.5,7.75,7.75,7.25,7.75,6.75,8.25,7.68,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,,38.04,
,Deductions,,Falls:,,-2.00(2),,,,,,,,,,-2.00,
,Under-rotated jump,x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,
printed: 24/11/2017 21:27:48,,,,,,,,,,,,,,,,
